SEASON,WTEAMID,LTEAMID,WSCORE,LSCORE,ROUND,W_REGION,W_SEED,L_REGION,L_SEED,W_SCORE_MEAN,W_SCORE_MEDIAN,W_SCORE_STDDEV,W_FGM_MEAN,W_FGM_MEDIAN,W_FGM_STDDEV,W_FGA_MEAN,W_FGA_MEDIAN,W_FGA_STDDEV,W_FGM3_MEAN,W_FGM3_MEDIAN,W_FGM3_STDDEV,W_FGA3_MEAN,W_FGA3_MEDIAN,W_FGA3_STDDEV,W_FTM_MEAN,W_FTM_MEDIAN,W_FTM_STDDEV,W_FTA_MEAN,W_FTA_MEDIAN,W_FTA_STDDEV,W_OR_MEAN,W_OR_MEDIAN,W_OR_STDDEV,W_DR_MEAN,W_DR_MEDIAN,W_DR_STDDEV,W_AST_MEAN,W_AST_MEDIAN,W_AST_STDDEV,W_TO_MEAN,W_TO_MEDIAN,W_TO_STDDEV,W_STL_MEAN,W_STL_MEDIAN,W_STL_STDDEV,W_BLK_MEAN,W_BLK_MEDIAN,W_BLK_STDDEV,W_PF_MEAN,W_PF_MEDIAN,W_PF_STDDEV,W_WLOCA,W_WLOCH,W_WLOCN,W_WINMARGINMEDIAN,W_WINMARGINMEAN,W_LOSEMARGINMEDIAN,W_LOSEMARGINMEAN,W_WON_CONFERENCE,W_TOTAL_WINS,L_SCORE_MEAN,L_SCORE_MEDIAN,L_SCORE_STDDEV,L_FGM_MEAN,L_FGM_MEDIAN,L_FGM_STDDEV,L_FGA_MEAN,L_FGA_MEDIAN,L_FGA_STDDEV,L_FGM3_MEAN,L_FGM3_MEDIAN,L_FGM3_STDDEV,L_FGA3_MEAN,L_FGA3_MEDIAN,L_FGA3_STDDEV,L_FTM_MEAN,L_FTM_MEDIAN,L_FTM_STDDEV,L_FTA_MEAN,L_FTA_MEDIAN,L_FTA_STDDEV,L_OR_MEAN,L_OR_MEDIAN,L_OR_STDDEV,L_DR_MEAN,L_DR_MEDIAN,L_DR_STDDEV,L_AST_MEAN,L_AST_MEDIAN,L_AST_STDDEV,L_TO_MEAN,L_TO_MEDIAN,L_TO_STDDEV,L_STL_MEAN,L_STL_MEDIAN,L_STL_STDDEV,L_BLK_MEAN,L_BLK_MEDIAN,L_BLK_STDDEV,L_PF_MEAN,L_PF_MEDIAN,L_PF_STDDEV,L_WLOCA,L_WLOCH,L_WLOCN,L_WINMARGINMEDIAN,L_WINMARGINMEAN,L_LOSEMARGINMEDIAN,L_LOSEMARGINMEAN,L_WON_CONFERENCE,L_TOTAL_WINS,W_CONF_ACC,W_CONF_AEC,W_CONF_A_SUN,W_CONF_A_TEN,W_CONF_BIG_EAST,W_CONF_BIG_SKY,W_CONF_BIG_SOUTH,W_CONF_BIG_TEN,W_CONF_BIG_TWELVE,W_CONF_BIG_WEST,W_CONF_CAA,W_CONF_CUSA,W_CONF_HORIZON,W_CONF_IVY,W_CONF_MAAC,W_CONF_MAC,W_CONF_MEAC,W_CONF_MID_CONT,W_CONF_MVC,W_CONF_MWC,W_CONF_NEC,W_CONF_OVC,W_CONF_PAC_TEN,W_CONF_PAC_TWELVE,W_CONF_PATRIOT,W_CONF_SEC,W_CONF_SOUTHERN,W_CONF_SOUTHLAND,W_CONF_SUMMIT,W_CONF_SUN_BELT,W_CONF_SWAC,W_CONF_WAC,W_CONF_WCC,L_CONF_ACC,L_CONF_AEC,L_CONF_A_SUN,L_CONF_A_TEN,L_CONF_BIG_EAST,L_CONF_BIG_SKY,L_CONF_BIG_SOUTH,L_CONF_BIG_TEN,L_CONF_BIG_TWELVE,L_CONF_BIG_WEST,L_CONF_CAA,L_CONF_CUSA,L_CONF_HORIZON,L_CONF_IVY,L_CONF_MAAC,L_CONF_MAC,L_CONF_MEAC,L_CONF_MID_CONT,L_CONF_MVC,L_CONF_MWC,L_CONF_NEC,L_CONF_OVC,L_CONF_PAC_TEN,L_CONF_PAC_TWELVE,L_CONF_PATRIOT,L_CONF_SEC,L_CONF_SOUTHERN,L_CONF_SOUTHLAND,L_CONF_SUMMIT,L_CONF_SUN_BELT,L_CONF_SWAC,L_CONF_WAC,L_CONF_WCC
2003,1421,1411,92,84,0,X,16,X,16,71.20689655172414,71.0,11.63854222076934,24.379310344827587,25.0,4.100642746687472,56.793103448275865,57.0,7.418024912067842,6.482758620689655,6.0,2.197737304839626,18.0,17.0,3.937003937005905,15.96551724137931,17.0,7.311843419220089,20.93103448275862,21.0,9.023505157099263,12.275862068965518,12.0,3.731110058147555,23.17241379310345,22.0,5.4449778008024525,13.03448275862069,13.0,4.791978107962526,16.20689655172414,16.0,5.002708625940462,7.068965517241379,7.0,3.1388241028717223,3.0,3.0,1.6475089420958282,19.103448275862068,19.0,3.6872834327320816,2,10,1,5.0,6.384615384615385,13.5,18.3125,1.0,13.0,72.8,72.5,12.104145770255176,24.733333333333334,25.0,4.898510212181921,55.266666666666666,55.0,8.705659409092826,5.933333333333334,5.5,2.815392829004364,18.5,19.0,5.992811786085749,17.4,17.5,6.605118182659305,28.066666666666666,28.0,8.199803754309944,13.166666666666666,12.5,4.864249123989219,24.8,24.5,5.548531958685263,14.2,14.0,4.397491447914681,15.233333333333333,15.0,4.031627833581091,6.433333333333334,6.0,2.314621192413095,2.2333333333333334,2.0,1.715715058195719,18.3,19.0,4.557298050077633,4,11,3,5.5,9.055555555555555,7.0,8.666666666666666,1.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003,1112,1436,80,51,1,Z,1,Z,16,85.21428571428571,86.5,10.379313981673295,30.321428571428573,30.0,3.935155617691598,65.71428571428571,66.0,7.251345432539441,7.035714285714286,7.0,2.60316250481122,20.071428571428573,19.5,4.890872613413165,17.535714285714285,17.0,5.080697989793535,25.0,25.0,6.26572096883186,15.178571428571429,15.0,3.399929971267616,27.642857142857142,26.0,4.287918304520667,17.642857142857142,18.5,4.33943404497497,14.785714285714286,14.5,4.458509490660178,8.464285714285714,8.0,3.646227302976811,4.214285714285714,4.0,2.0066028571830117,17.75,17.5,2.9891780116254667,11,14,0,14.0,17.28,5.0,4.333333333333333,0.0,25.0,67.79310344827586,65.0,11.995175549078143,24.82758620689655,23.0,5.298712549271093,55.86206896551724,58.0,7.0646207962688194,5.275862068965517,5.0,1.9620789215985377,15.482758620689655,15.0,5.9439085845160635,12.862068965517242,12.0,5.111081363993299,19.551724137931036,18.0,6.450837193156469,12.96551724137931,12.0,3.540407145883181,25.724137931034484,26.0,3.6829389635000744,14.206896551724139,13.0,4.857831014710957,14.068965517241379,14.0,3.4839533628455412,6.862068965517241,6.0,3.502286374958043,2.9655172413793105,3.0,1.721352429687807,15.89655172413793,16.0,4.047440351507948,7,9,3,10.0,12.052631578947368,7.5,9.4,1.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1113,1272,84,71,1,Z,10,Z,7,75.96551724137932,75.0,11.968657755692844,27.20689655172414,27.0,4.647421023265236,56.89655172413793,57.0,6.3546654828570475,4.0,4.0,1.6035674514745466,12.586206896551724,12.0,3.905282515656658,17.551724137931036,17.0,5.979645276725701,26.20689655172414,24.0,9.166629347587863,13.689655172413794,13.0,4.89243912492869,23.310344827586206,22.0,4.536388181581262,15.551724137931034,16.0,3.887582859902903,14.0,14.0,3.3911649915626336,5.206896551724138,4.0,2.1444165097964722,4.241379310344827,4.0,2.935681624595082,19.413793103448278,19.0,3.2460662058571566,4,12,2,15.0,17.38888888888889,8.0,10.545454545454545,0.0,18.0,74.51724137931035,73.0,8.724434855438949,26.275862068965516,26.0,4.605094630050954,60.0,61.0,7.2997064520235515,7.0,8.0,3.327375628243462,20.06896551724138,20.0,5.554477180506594,14.96551724137931,16.0,7.552117766469263,22.896551724137932,24.0,10.734939042964223,14.068965517241379,13.0,4.934796525569061,25.96551724137931,25.0,3.8311016563748126,16.620689655172413,17.0,4.754049349941045,13.793103448275861,13.0,4.0389117199777225,7.379310344827586,7.0,3.155650183213871,5.068965517241379,4.0,3.1614986780996155,18.75862068965517,18.0,4.339644261373385,7,14,2,11.0,12.695652173913043,3.0,6.666666666666667,0.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1141,1166,79,73,1,Z,11,Z,6,79.34482758620689,80.0,13.102006013445218,26.620689655172413,28.0,5.08789735621594,52.689655172413794,53.0,5.7265262985754175,6.827586206896552,7.0,3.0363155011724485,17.93103448275862,18.0,4.750421293217496,19.275862068965516,19.0,6.175392131702695,25.17241379310345,24.0,7.314706153248698,10.586206896551724,11.0,3.479708951081463,23.275862068965516,24.0,4.374410586615706,15.620689655172415,15.0,4.959938025991341,18.24137931034483,18.0,3.2475834137950406,7.103448275862069,7.0,2.944059728458148,4.0,3.0,2.3452078799117144,20.96551724137931,21.0,4.8142849834090455,9,11,3,10.0,11.173913043478262,11.5,13.333333333333334,1.0,23.0,79.24242424242425,80.0,12.262825691470704,28.696969696969695,29.0,5.282547021116142,57.45454545454545,57.0,5.068844229031091,7.96969696969697,7.0,3.025773129351081,20.484848484848484,20.0,4.294773074048939,13.878787878787879,13.0,5.260451357521376,20.03030303030303,20.0,6.677784290489103,10.878787878787879,11.0,2.7699004467396446,23.181818181818183,23.0,3.4501317497900126,16.818181818181817,18.0,5.089539182569389,13.363636363636363,13.0,3.333712099692528,8.393939393939394,8.0,2.816684597396756,4.454545454545454,5.0,2.223326745708291,17.272727272727273,17.0,3.11521194376008,7,17,5,19.0,17.79310344827586,7.0,6.0,1.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1143,1301,76,74,1,W,8,W,9,74.48275862068965,75.0,7.758040481863099,27.344827586206897,27.0,3.5383194363281474,58.724137931034484,58.0,7.864461437033134,6.413793103448276,6.0,2.5427381385780388,17.03448275862069,18.0,4.617379889540709,13.379310344827585,13.0,5.753345567726214,19.517241379310345,19.0,7.395078912237963,11.241379310344827,11.0,3.8973908159708324,24.379310344827587,22.0,5.512413219941803,16.0,17.0,4.140393356054126,14.172413793103448,14.0,4.464694562559214,6.551724137931035,7.0,2.6401597205005793,2.793103448275862,3.0,1.6339983901204604,17.103448275862068,18.0,3.7449473349930997,7,13,1,10.0,10.380952380952381,12.5,10.125,0.0,21.0,72.4,71.5,12.696999374003617,24.333333333333332,23.5,4.396968652757639,53.333333333333336,52.0,6.509056467104433,7.966666666666667,8.0,3.0454412888246853,22.5,21.5,5.56311745894952,15.766666666666667,15.0,5.733647411873018,20.466666666666665,19.0,7.463628281636003,9.733333333333333,10.0,3.750249033876544,22.033333333333335,21.0,4.374560733284589,14.666666666666666,14.0,4.998850442564413,14.2,14.0,3.7176188152058316,7.766666666666667,7.5,3.626372114475248,3.066666666666667,2.0,2.4904414971194795,18.666666666666668,18.0,4.2127338435725585,3,13,2,11.5,15.055555555555555,11.5,11.583333333333334,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1163,1140,58,53,1,X,5,X,12,80.03333333333333,76.5,14.449635082692874,29.533333333333335,28.0,6.553405712816934,62.2,63.5,9.147828082156424,6.066666666666666,5.5,2.5988503205274727,15.7,15.0,3.5926169503196603,14.9,15.0,6.477281251713029,22.1,23.5,8.38862119285651,14.766666666666667,14.0,4.41535981533222,27.9,29.0,5.040183357365293,15.633333333333333,15.0,5.886766768652021,15.8,16.0,3.736123751919249,5.933333333333334,6.0,2.5721765013355884,7.733333333333333,7.5,3.532444043370005,18.4,18.0,3.5194043383151823,5,14,2,13.0,16.904761904761905,9.0,10.666666666666666,0.0,21.0,72.45161290322581,71.0,9.982780874009736,24.032258064516128,24.0,3.8426021649202067,51.25806451612903,51.0,6.526702801749562,6.193548387096774,6.0,2.7131697924347904,16.129032258064516,17.0,3.757143733244453,18.193548387096776,19.0,5.12132375360583,24.161290322580644,25.0,6.377547983321637,10.870967741935484,10.0,3.7660052706979488,24.419354838709676,25.0,4.617172248237278,13.419354838709678,13.0,4.264381108268717,13.741935483870968,13.0,4.194979077702962,6.935483870967742,7.0,2.682479995215469,2.5161290322580645,3.0,1.6506759775303266,21.419354838709676,22.0,3.7128084028884576,6,13,4,13.0,14.652173913043478,7.0,8.125,0.0,23.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1181,1161,67,57,1,Z,3,Z,14,81.96666666666667,80.5,9.408299099944845,27.366666666666667,27.5,3.2322014845584124,60.333333333333336,60.0,7.827155793523722,7.333333333333333,7.0,2.6952491194863515,20.6,20.5,6.262091751439631,19.9,20.0,7.966957624658451,28.066666666666666,29.0,9.191200189286501,13.766666666666667,13.0,4.6064672179323125,23.1,23.0,4.787555707787892,13.833333333333334,14.0,3.611125847302677,14.033333333333333,14.0,2.785223736859898,8.5,8.0,3.192123928110216,5.133333333333334,5.0,2.713101461469859,21.266666666666666,21.0,5.138987779932821,3,15,6,15.0,16.416666666666668,7.0,7.833333333333333,1.0,24.0,74.0,74.0,12.233363086812766,26.4,26.5,4.860821556784055,52.1,51.0,7.6354436675284285,4.2,4.0,2.1559860533104023,11.566666666666666,10.5,3.1914036835324304,17.0,16.0,7.3296751586297795,24.266666666666666,23.5,9.332676495770796,10.8,11.0,3.367184437253588,23.466666666666665,23.0,5.975428614454096,15.5,14.5,5.5569155423514935,16.133333333333333,15.0,4.64411628751413,5.333333333333333,5.0,2.339073399407572,4.233333333333333,4.0,2.430883666961225,20.566666666666666,21.0,3.8027515748770497,3,12,2,12.0,11.411764705882353,9.0,11.846153846153847,1.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1211,1153,74,69,1,Z,9,Z,8,77.06451612903226,73.0,11.43950897510019,26.06451612903226,25.0,4.98621756358443,55.45161290322581,55.0,6.677518050280954,7.161290322580645,7.0,2.9108621196425455,19.06451612903226,19.0,4.774484152736417,17.774193548387096,15.0,7.473105902364624,24.64516129032258,23.0,9.541308041342392,11.935483870967742,12.0,3.991119173623423,25.322580645161292,26.0,4.6931659305433575,15.741935483870968,17.0,4.5311348242685225,14.548387096774194,15.0,3.2438527471451737,6.806451612903226,6.0,3.477732545195789,3.5161290322580645,3.0,1.8950983746134038,18.64516129032258,18.0,3.3817982109796176,9,11,3,10.0,14.173913043478262,7.0,6.375,0.0,23.0,67.32142857142857,65.5,13.4551479104098,22.892857142857142,23.0,4.297624543812165,56.67857142857143,56.5,5.584725010164192,6.678571428571429,7.0,2.326236372636208,19.5,19.0,4.041451884327381,14.857142857142858,13.0,7.667701793474418,21.535714285714285,20.5,9.777078798970061,12.142857142857142,12.0,3.363356851743405,23.392857142857142,24.0,4.901543866490667,12.285714285714286,12.0,4.284832360756761,10.607142857142858,10.0,4.130637881994658,5.178571428571429,5.0,2.957145413182956,4.25,4.0,2.11913679141785,18.964285714285715,18.5,4.841809753916575,3,12,2,11.0,14.176470588235293,6.0,7.090909090909091,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1228,1443,65,60,1,Z,4,Z,13,75.43333333333334,74.5,10.457412264244335,27.1,26.0,5.121624203586068,55.8,55.5,6.402585684571184,7.433333333333334,7.5,2.3294713523907515,20.166666666666668,20.5,5.330998051949096,13.8,12.0,5.7198987210710595,19.1,17.5,7.058132995297719,9.733333333333333,9.0,4.432896875931548,25.4,26.0,4.08191976470842,18.266666666666666,17.5,3.95608072625467,13.166666666666666,13.5,3.806376984368001,7.0,6.5,2.994247358081711,3.1,3.0,2.0902070512849633,19.133333333333333,19.0,4.207819759262127,3,14,7,15.5,18.833333333333332,5.0,5.166666666666667,1.0,24.0,73.09677419354838,72.0,8.814211398681397,25.70967741935484,25.0,3.689566807337474,55.903225806451616,55.0,8.296002405615518,7.709677419354839,8.0,2.957403685522114,21.032258064516128,19.0,7.560793040273583,13.96774193548387,12.0,7.318851781382752,21.096774193548388,20.0,10.906740541853546,12.161290322580646,12.0,4.290274072003236,23.258064516129032,22.0,5.69191087969283,14.193548387096774,14.0,3.1136190608219847,15.161290322580646,15.0,4.227661088541735,7.064516129032258,7.0,3.021428843786415,3.5483870967741935,3.0,2.3214752447157294,18.451612903225808,19.0,4.710546392068329,5,15,3,13.0,13.608695652173912,10.5,13.25,1.0,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003,1242,1429,64,61,1,Z,2,Z,15,81.33333333333333,81.0,12.191951368050962,30.233333333333334,31.0,5.37993291416534,62.3,62.5,6.50808515723274,4.8,4.5,2.1074580210160363,14.133333333333333,14.0,4.710467678174475,16.066666666666666,17.0,5.625884349383986,24.133333333333333,23.0,7.9121614525093396,14.3,15.0,4.764451699828639,26.9,27.0,4.773128808306943,16.733333333333334,16.5,5.336493316733398,14.9,15.0,3.826856096877292,10.133333333333333,9.5,4.0149147226167905,4.9,4.0,2.5099800796022267,16.7,17.0,4.001292894501253,7,13,3,18.0,22.0,7.0,8.142857142857142,0.0,23.0,65.96666666666667,63.5,10.499534746123633,23.7,23.0,3.9666714961817413,51.93333333333333,52.0,5.394335044721697,4.033333333333333,4.0,2.059181848467364,12.133333333333333,12.0,3.910492810757808,14.533333333333333,15.0,4.739659040067329,20.233333333333334,21.0,5.33487764997754,12.633333333333333,12.0,4.686615816993319,22.366666666666667,22.5,4.238439313720552,13.9,14.0,3.8358562412384902,12.233333333333333,12.0,3.191403683532431,5.066666666666666,5.0,2.6643668243529537,2.0,2.0,1.4383899044561523,16.1,15.5,3.376899210201878,6,11,5,7.5,10.318181818181818,6.5,6.375,1.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
